LocMailCnt,count,timestamp,gear,tsns.hasTemp,tsns.temp,Gyro.hasTemp,Gryo.temp,Gyro.hasX,Gyro.x,Gyro.hasY,Gyro.y,Gyro.hasZ,Gyro.z,Gsns.hasTemp,Gsns.temp,Gsns.hasX,Gsns.x,Gsns.hasY,Gsns.y,Gsns.hasZ,Gsns.z,Pls.cycleTime,Pls.cycleCount,Pls.pulseCount
15066,232,1511398,1,0,0,1,34,1,24.20001,1,11.200005,1,-18.600008,0,0,1,-610.993713,1,-2300.976562,1,16128.83496,0,0,0
15066,232,1511398,1,0,0,1,34,1,66.600021,1,-24.400011,1,-28.400011,0,0,1,-611.59375,1,-2282.176514,1,16144.43652,0,0,0
15067,233,1511495,1,0,0,1,34,1,11.000005,1,-24.400011,1,-39.400021,0,0,1,-624.193665,1,-2288.976562,1,16146.43359,0,0,0
15067,233,1511495,1,0,0,1,34,1,15.400007,1,-7.800003,1,-36.200016,0,0,1,-612.59375,1,-2306.176514,1,16155.23438,0,0,0
15068,234,1511596,1,0,0,1,34,1,27.600012,1,-18.000008,1,-29.000013,0,0,1,-607.593811,1,-2286.57666,1,16151.0332,0,0,0
15068,234,1511596,1,0,0,1,34,1,60.200016,1,-18.600008,1,-42.800018,0,0,1,-609.993835,1,-2298.176514,1,16149.03516,0,0,0
15069,235,1511699,1,0,0,1,34,1,35.600018,1,14.200006,1,-32.600014,0,0,1,-596.593872,1,-2288.976562,1,16130.83594,0,0,0
15069,235,1511699,1,0,0,1,34,1,55.200024,1,2.200001,1,-29.800011,0,0,1,-616.193726,1,-2303.176514,1,16151.43457,0,0,0
15070,236,1511796,1,0,0,1,34,1,6.600003,1,-2.400001,1,-26.600012,0,0,1,-606.793823,1,-2296.576416,1,16136.03711,0,0,0
15070,236,1511796,1,0,0,1,34,1,26.20001,1,0.6,1,-35.400013,0,0,1,-614.393738,1,-2298.376465,1,16160.43359,0,0,0
15071,237,1511896,1,0,0,1,34,1,39.20002,1,-4.800002,1,-38.600018,0,0,1,-624.793579,1,-2288.176514,1,16156.83398,0,0,0
15071,237,1511896,1,0,0,1,34,1,32.800014,1,-5.400002,1,-42.400017,0,0,1,-607.393799,1,-2296.776611,1,16132.03418,0,0,0
15072,238,1511998,1,0,0,1,34,1,7.800003,1,15.600006,1,-35.200016,0,0,1,-611.393738,1,-2295.576416,1,16131.43555,0,0,0
15072,238,1511998,1,0,0,1,34,1,18.800009,1,-10.800004,1,-32.200012,0,0,1,-613.393738,1,-2295.57666,1,16139.23633,0,0,0
15073,239,1512099,1,0,0,1,34,1,37.800014,1,-14.400005,1,-32.600014,0,0,1,-616.593689,1,-2291.57666,1,16149.43652,0,0,0
15073,239,1512099,1,0,0,1,34,1,27.60001,1,2.200001,1,-51.600025,0,0,1,-614.193665,1,-2282.976807,1,16154.03516,0,0,0
15074,240,1512195,1,0,0,1,34,1,23.800009,1,-11.800005,1,-39.20002,0,0,1,-611.793762,1,-2292.376465,1,16143.83496,0,0,0
15074,240,1512195,1,0,0,1,34,1,33.000015,1,-16.800007,1,-46.20002,0,0,1,-606.993774,1,-2307.976562,1,16134.4375,0,0,0
15075,241,1512298,1,0,0,1,34,1,34.200016,1,-27.000013,1,-39.600018,0,0,1,-603.593811,1,-2293.376465,1,16133.63574,0,0,0
15075,241,1512298,1,0,0,1,34,1,31.400013,1,4.200002,1,-37.600018,0,0,1,-619.593628,1,-2303.576416,1,16153.63477,0,0,0
