# TimeStamp,latitude(deg),longitude(deg),height(m),std_n(m),std_e(m),std_d(m)
1163739,37.400388333,127.111563333,31.200,33.040,22.980,16.660
1164783,37.400380000,127.111550000,30.400,29.020,20.190,14.490
1165742,37.400373333,127.111531667,29.700,28.890,20.100,14.260
1166732,37.400360000,127.111508333,28.900,29.590,20.590,14.440
1167746,37.400345000,127.111490000,28.300,29.600,20.590,14.280
1168732,37.400323333,127.111448333,27.600,29.390,20.440,14.230
1169800,37.400315000,127.111418333,26.900,29.020,20.160,14.250
1170731,37.400315000,127.111411667,25.900,28.630,19.890,14.090
1171742,37.400326667,127.111420000,25.200,28.310,19.660,14.070
1172734,37.400315000,127.111411667,24.700,27.900,19.400,14.000
1173740,37.400308333,127.111401667,24.100,27.650,19.230,13.970
1174787,37.400296667,127.111385000,23.700,27.300,18.990,13.870
1175740,37.400278333,127.111368333,22.800,35.330,24.600,17.580
1176747,37.400256667,127.111351667,22.000,28.150,19.580,13.840
1177741,37.400240000,127.111340000,21.500,33.780,23.510,16.120
1178735,37.400218333,127.111316667,20.800,35.650,24.870,16.550
1180734,37.400158333,127.111251667,18.300,35.610,25.140,16.210
1181745,37.400145000,127.111238333,18.100,36.720,25.900,16.200
1182743,37.400135000,127.111228333,18.000,37.840,26.370,16.200
1183743,37.400123333,127.111211667,17.800,40.600,28.030,16.850
1219812,37.400930000,127.111993333,22.900,45.950,31.350,15.540
1220762,37.400873333,127.111950000,23.000,42.040,28.540,15.530
1221768,37.400798333,127.111890000,22.900,42.500,28.690,16.920
1222763,37.400725000,127.111826667,23.500,37.670,25.320,16.040
1223773,37.400693333,127.111805000,23.500,38.640,25.880,17.440
1224815,37.400666667,127.111793333,23.500,35.650,23.820,16.890
1225775,37.400645000,127.111785000,23.400,35.030,23.370,17.310
1226765,37.400616667,127.111766667,22.700,36.010,23.950,18.430
1227773,37.400576667,127.111728333,21.500,36.120,23.920,19.100
1228772,37.400540000,127.111695000,21.000,35.380,23.460,19.500
1229827,37.400520000,127.111665000,19.500,32.630,21.530,18.500
1230765,37.400493333,127.111635000,18.800,34.830,22.970,20.360
1231775,37.400478333,127.111616667,17.900,33.890,22.330,20.300
1232774,37.400466667,127.111596667,17.300,33.420,22.040,20.420
1233774,37.400446667,127.111566667,16.800,33.410,22.060,20.780
1234823,37.400435000,127.111541667,16.400,33.250,21.960,20.960
1235780,37.400433333,127.111531667,16.800,33.640,22.200,21.450
1236777,37.400425000,127.111518333,17.200,32.920,21.690,21.450
1237788,37.400433333,127.111515000,16.400,32.750,21.550,21.750
1238766,37.400433333,127.111496667,16.100,40.720,26.880,26.700
1242778,37.400455000,127.111475000,17.500,39.120,25.740,20.040
1243781,37.400448333,127.111460000,17.600,38.650,25.360,19.820
1244825,37.400433333,127.111443333,18.000,37.840,24.760,19.520
1245778,37.400425000,127.111438333,18.600,37.530,24.530,19.500
1246780,37.400408333,127.111438333,19.100,34.510,22.500,18.120
1247779,37.400418333,127.111440000,19.200,33.620,21.900,17.810
1248780,37.400403333,127.111435000,19.300,32.980,21.540,17.640
1249828,37.400401667,127.111433333,19.200,32.440,21.380,17.670
1250785,37.400398333,127.111431667,19.200,32.900,21.770,18.060
1251782,37.400401667,127.111436667,19.900,32.320,21.460,17.870
1252781,37.400393333,127.111430000,20.800,31.780,21.210,17.720
1253789,37.400385000,127.111433333,21.500,31.810,21.280,17.800
1254830,37.400385000,127.111443333,22.700,32.180,21.570,18.080
1255791,37.400328333,127.111413333,23.900,27.490,18.700,16.230
1256790,37.400316667,127.111418333,25.200,27.390,18.740,16.410
1257793,37.400311667,127.111431667,26.900,26.770,18.450,16.340
1258793,37.400283333,127.111425000,28.300,26.480,18.350,16.440
1259841,37.400248333,127.111406667,30.000,25.490,17.870,16.370
1260795,37.400230000,127.111400000,31.100,24.800,17.550,16.390
1261796,37.400211667,127.111388333,32.300,24.760,17.610,16.510
1262793,37.400195000,127.111378333,33.400,24.320,17.420,16.320
